id,Name,B1,B2,B3,B4,B5,B6,B7
189,Barren,7393,7374,7379,7265,7617,7412,7385
190,Barren,7817,7748,7726,7582,7851,7541,7457
191,Barren,7166,7301,7327,7351,7783,7477,7378
192,Barren,7479,7515,7549,7456,7907,7489,7395
193,Barren,8146,8017,7848,7698,8051,7545,7467
194,Barren,7810,7889,7871,7906,9080,9047,8157
195,Barren,8669,8548,8208,7970,8493,7816,7630
196,Barren,9156,8809,8183,7893,8282,7447,7418
197,Barren,7971,8247,8065,8172,10491,9131,8421
198,Barren,8721,8423,8022,7862,8114,7430,7370
199,Barren,8987,8705,8289,7989,8370,7573,7632
200,Barren,8680,8351,8091,7829,8038,7644,7481
201,Snow,23464,24592,24532,25304,28054,24249,23827
202,Snow,17530,18271,19879,20519,23702,24369,24777
203,Snow,20496,21623,21971,22862,25591,23626,23299
204,Snow,16753,17637,18991,19702,22971,23153,22821
205,Snow,16216,17440,18813,19484,23106,23025,23057
206,Snow,29230,29905,29145,29444,31877,26325,23611
207,Snow,25878,26831,26497,26818,29113,25121,23255
208,Snow,21768,22797,23461,24064,28273,25102,23795
209,Snow,26530,27494,27889,28498,31615,27452,25644
210,Snow,26065,26686,26586,27401,30355,26841,25238
211,Snow,31471,32099,31791,31865,32847,25532,22372
212,Snow,30848,31327,30331,31167,33642,26585,24463
213,Snow,42000,42540,41682,42901,43509,35303,30675
214,Snow,34193,34278,32868,33468,34156,26347,22571
215,Snow,42309,43600,42819,43314,43557,32424,26836
216,Snow,33232,34107,33381,33665,34272,24264,19576
217,Snow,30639,30784,29748,30291,31315,23878,20372
218,Snow,45326,45647,44051,45323,45552,36201,30936
219,Snow,28456,29657,29677,29861,31836,23399,19450
220,Snow,35649,36166,35652,36619,38040,31196,28223
221,Snow,24325,24577,24385,24704,26488,22162,19733
222,Snow,39083,40147,39433,39805,40344,30762,26235
223,Snow,22419,23248,23716,24362,27520,23291,21315
224,Snow,30018,30649,30386,30541,31766,26397,23396
225,Snow,23460,24202,24675,24745,27725,23394,21890
226,Snow,20794,21052,23795,23519,27774,25735,23723
227,Snow,33026,33576,33240,33525,34709,27140,22940
228,Snow,19854,20861,21160,21190,24435,21836,20535
229,Snow,20646,22289,22229,23166,27765,23799,23151
230,Snow,45721,47219,46295,46967,47528,36961,31878
231,Snow,33132,33805,33142,34017,35684,30410,27010
232,Snow,30952,31673,31675,32728,35400,29998,26578
233,Snow,32455,33364,34600,34627,36483,29790,25050
234,Snow,38243,38876,37490,38563,40359,33595,29846
235,Snow,26463,26892,25412,25886,27455,19084,16050
236,Snow,40762,41997,41995,42458,43280,35547,30607
237,Snow,24897,25871,27497,28202,32489,28537,26492
238,Snow,19159,20240,22067,22519,28910,24566,22634
239,Snow,22706,23104,23246,23651,25526,16952,13700
240,Snow,32580,32725,34891,35454,36166,29239,25306
241,Snow,29642,30505,30772,31718,33113,28773,26132
242,Snow,34163,34861,34092,34449,34195,25601,21522
243,Snow,33467,34234,34090,34913,36206,29836,26781
244,Snow,31231,31901,32229,32696,33759,27738,24555
245,Snow,27503,28433,29104,29769,31787,26788,23820
246,Snow,42876,43822,43338,44031,44837,31135,24693
247,Snow,37462,38105,38082,39308,41598,32295,27351
248,Snow,41530,42537,42431,43777,45277,35736,31030
249,Snow,49384,50763,51143,51890,53140,40525,33948
250,Snow,37197,37990,37776,38078,39229,30269,25098
251,Forest,7881,7995,8697,8183,23894,13525,9501
252,Forest,7753,7825,8573,7974,21247,12046,9073
253,Forest,8190,8172,8970,8274,28024,15497,10549
254,Forest,7454,7599,8343,7885,17281,11522,9023
255,Forest,7464,7555,8055,7633,13762,9495,8198
256,Forest,7741,7923,8895,8223,24753,14930,10231
257,Forest,7525,7605,8015,7677,14125,10229,8480
258,Forest,7342,7526,7845,7610,14007,9757,8265
259,Forest,7400,7528,8089,7678,15452,10454,8517
260,Forest,7368,7679,8628,8092,21569,12778,9438
261,Forest,7620,7739,8457,7974,18107,11905,9262
262,Forest,7690,7738,8437,7911,18859,11943,9029
263,Forest,7598,7642,8472,7876,21328,12341,9234
264,Forest,7381,7403,8071,7599,15616,10215,8467
265,Forest,7817,7867,8807,8126,24851,13576,9777
266,Forest,7707,7743,8380,7869,20993,11907,8953
267,Forest,7970,7965,8584,8069,24152,13073,9479
268,Forest,7522,7577,8038,7644,15206,10232,8426
269,Forest,7842,7805,8449,7849,20848,12093,9360
270,Forest,7425,7491,7955,7587,14981,9827,8292
271,Forest,8037,8050,8627,8148,22594,13257,9595
272,Forest,7533,7620,8109,7816,16608,10679,8569
273,Forest,7460,7521,7805,7626,11639,9292,8075
274,Forest,7701,7800,8328,7971,19209,11877,9117
275,Forest,7993,8018,8785,8163,21356,13105,9579
276,Forest,7986,7921,8237,7804,16619,10856,8721
277,Forest,7158,7251,7545,7399,9682,8068,7578
278,Forest,7432,7602,8371,7945,20619,12262,9292
279,Forest,7310,7513,8160,7904,15430,11349,8949
280,Forest,7074,7241,7556,7423,10227,8604,7826
281,Forest,7154,7418,8177,7886,17236,11615,9030
282,Forest,7248,7449,7972,7696,14284,10062,8440
283,Forest,7494,7591,8231,7812,17164,10834,8695
284,Forest,7685,7815,8169,7958,12644,9655,8302
285,Forest,7923,8041,9031,8257,25039,14446,10065
286,Forest,7734,7969,8541,8061,16562,11573,8943
287,Forest,7687,7874,8689,8123,20544,12075,9069
288,Forest,7791,7957,8573,8092,18023,12102,9176
289,Forest,7718,7798,9738,8355,22142,13248,9791
290,Forest,7867,7980,9699,8539,20347,12608,9702
291,Forest,7059,7631,9323,8644,19651,13825,10428
292,Forest,7817,8305,10089,9310,18319,13812,11119
293,Forest,7880,7843,8346,7907,17445,10889,8798
294,Forest,7992,7896,8478,7982,17966,11855,9325
295,Forest,8524,8447,9577,8692,25907,15249,10359
296,Forest,7340,7503,8510,7977,20540,12930,9519
297,Forest,7245,7317,8194,7588,23694,13622,9850
298,Forest,7510,7594,8108,7801,14944,10287,8449
299,Forest,7419,7667,8252,8058,16344,11852,9323
300,Forest,7675,7778,8288,7935,15284,10734,8824
